Antecedents,Consequents,Support,Confidence,Lift
"['Normal Depression', 'Moderate TN', 'High CRF', 'Normal Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate CN', 'High PostTest', 'High ESF', 'High TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High PostTest', 'Moderate Depression', 'Normal Stress', 'High TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate CRF', 'Low CN', 'High PostTest', 'Moderate Depression']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Low CN', 'High PostTest', 'Moderate Depression', 'Normal Stress']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Moderate CRF', 'Mild Stress', 'High PostTest', 'Normal Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High PreTest', 'Low CN', 'Moderate TP', 'Mild Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate CRF', 'High PreTest', 'Low CN', 'Severe Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High PreTest', 'Low CN', 'Severe Anxiety', 'Moderate ESF']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Severe Anxiety', 'High PreTest', 'Low CN', 'Normal Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High PreTest', 'Low CN', 'Normal Stress', 'Severe Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['High PreTest', 'Moderate TN', 'Mild Depression', 'Normal Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Low ESF', 'Moderate Anxiety', 'Normal Depression', 'High TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Low ESF', 'Moderate CN', 'Normal Depression', 'High TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate CN', 'Moderate PreTest', 'Normal Depression', 'High TP']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Moderate PreTest', 'Moderate CP', 'Moderate ESF', 'High TP']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Moderate PreTest', 'Moderate CP', 'Normal Anxiety', 'High TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate PreTest', 'Moderate TN', 'Normal Anxiety', 'High TP']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate CP', 'Low CN', 'Normal Depression', 'Moderate Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Low CN', 'Moderate TP', 'Normal Depression', 'Moderate Anxiety']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Moderate PreTest', 'Low CN', 'Moderate TN', 'Normal Depression']",['Positive Delta'],0.009900990099009901,1.0,1.4326241134751774
"['Moderate CRF', 'Moderate PreTest', 'Mild Depression', 'Low TN']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate TP', 'Moderate ESF', 'Mild Depression', 'Low TN']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate CP', 'Moderate ESF', 'Moderate Anxiety', 'Low TN']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate TP', 'Moderate ESF', 'Moderate Anxiety', 'Low TN']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
"['Moderate PreTest', 'Moderate TN', 'Normal Depression', 'Moderate Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.4326241134751774
